episode,agent,algorithm,reward_fn,revenue,market_share,total_reward
0,walmart,DQNAgent,pure_revenue,5.263133963798256e+17,0.05720860977983511,5.012322076581602e+18
0,target,DQNAgent,profit_margin,1.1066412587910424e+20,0.15967290902695455,7.385332567930021e+20
0,amazon_fresh,DQNAgent,market_share,4.9831914166476755e+17,0.08347730132395419,6909652.804727001
0,qfc,DQNAgent,revenue_with_inventory,2.1820770873024082e+18,0.045970068879589376,7.96748145352009e+19
0,safeway,DQNAgent,long_term_value,2.3800902825790443e+20,0.1219077587048143,1.0431443003786321e+21
0,kroger,DQNAgent,promo_aware_profit,2.774147577555086e+19,0.06527496672971443,5.775165563205346e+20
0,trader_joes,DQNAgent,premium_floor,2.4126096100941405e+20,0.19824353570724187,1.5444006005189716e+21
0,whole_foods,DQNAgent,prestige_reward,6.303014966580564e+18,0.09285030310265657,6.673994502342133e+19
0,aldi,DQNAgent,discount_maximization,2.271835270082612e+18,0.0344480456605673,2.0943981767918756e+19
0,costco,DQNAgent,bulk_volume,9.680898480354288e+19,0.14094650108467233,355754996.2700001
1,walmart,DQNAgent,pure_revenue,8.473702293917263e+20,0.05413040346007872,8.568946821274184e+21
1,target,DQNAgent,profit_margin,3.594364156890282e+20,0.11668218836432323,6.057258720505693e+21
1,amazon_fresh,DQNAgent,market_share,2.6506214049883106e+21,0.11303455158849973,6810201.583003824
1,qfc,DQNAgent,revenue_with_inventory,2.0367233345492348e+21,0.09871975784832918,3.955441861234696e+21
1,safeway,DQNAgent,long_term_value,2.9134289281770183e+20,0.04111826039280725,9.455804101643397e+21
1,kroger,DQNAgent,promo_aware_profit,1.3868159516151896e+21,0.07648444547564091,6.791130173017953e+21
1,trader_joes,DQNAgent,premium_floor,4.3704309423409904e+21,0.2827946020633113,2.8306562486953556e+22
1,whole_foods,DQNAgent,prestige_reward,1.2542210873238864e+19,0.09076387674243605,4.4334137505611304e+20
1,aldi,DQNAgent,discount_maximization,1.63681296521001e+17,0.026548114185175085,1.4657260439662016e+18
1,costco,DQNAgent,bulk_volume,8.927385392348315e+21,0.09972379987939854,418596147.0199995
2,walmart,DQNAgent,pure_revenue,2.3796443204502016e+19,0.03974649853921071,9.098285384200749e+20
2,target,DQNAgent,profit_margin,1.6990393953166772e+21,0.14252269672949466,5.064937326856899e+21
2,amazon_fresh,DQNAgent,market_share,1.0421723846043372e+21,0.17427790629678971,9845410.387391478
2,qfc,DQNAgent,revenue_with_inventory,1.6523250641814214e+21,0.1063657948022188,6.562484327768377e+21
2,safeway,DQNAgent,long_term_value,1.9346890658294658e+21,0.07672941449074622,3.7092367690588206e+20
2,kroger,DQNAgent,promo_aware_profit,6.604588864354227e+20,0.04370697460008409,7.978701182096034e+21
2,trader_joes,DQNAgent,premium_floor,2.703893733444806e+21,0.18831234404933,7.869960872709291e+21
2,whole_foods,DQNAgent,prestige_reward,2.799230074522664e+18,0.08780193689848746,4.580713363801371e+19
2,aldi,DQNAgent,discount_maximization,4.937086186907023e+20,0.04760163563262805,1.153258656433852e+21
2,costco,DQNAgent,bulk_volume,2.8524528359693636e+21,0.09293479796101026,315231025.2999998
3,walmart,DQNAgent,pure_revenue,7.857852271257526e+17,0.035181291375784775,4.984270812313435e+18
3,target,DQNAgent,profit_margin,2.0192208007460464e+21,0.16743534404468116,2.4053542155275993e+21
3,amazon_fresh,DQNAgent,market_share,2.2916398058127098e+20,0.17040642430364314,9384415.122797461
3,qfc,DQNAgent,revenue_with_inventory,1.0049584914258935e+21,0.05765765091990351,2.4140490607566735e+21
3,safeway,DQNAgent,long_term_value,5.099486507495168e+20,0.11331416550342312,6.258233092329922e+21
3,kroger,DQNAgent,promo_aware_profit,7.506490563571104e+20,0.0803646737279935,5.793926662925788e+21
3,trader_joes,DQNAgent,premium_floor,8.922115975250646e+20,0.10235025623961151,3.2194027331136426e+21
3,whole_foods,DQNAgent,prestige_reward,6.147683652481756e+18,0.11067836788855766,8.383235283859033e+19
3,aldi,DQNAgent,discount_maximization,1.3056367015408774e+20,0.028391403073126174,3.6554668914992415e+20
3,costco,DQNAgent,bulk_volume,1.0061203254063989e+20,0.1342204229232755,338127979.28000003
4,walmart,DQNAgent,pure_revenue,4.747945694389999e+17,0.038237170076267805,3.9574891242772234e+18
4,target,DQNAgent,profit_margin,2.2172076849860356e+20,0.14698139715159378,1.2380528655193643e+21
4,amazon_fresh,DQNAgent,market_share,6.062598405910541e+19,0.06681222554899591,5214242.623105209
4,qfc,DQNAgent,revenue_with_inventory,2.4133765443907256e+19,0.060365736681189,1.951269868265321e+20
4,safeway,DQNAgent,long_term_value,4.606131303839738e+20,0.30916342767813804,3.359465537916973e+21
4,kroger,DQNAgent,promo_aware_profit,2.4460499469050552e+19,0.041594463884700464,1.3133395922947256e+20
4,trader_joes,DQNAgent,premium_floor,1.0517533977390223e+20,0.12156382830172434,8.184982834718947e+20
4,whole_foods,DQNAgent,prestige_reward,1.3778677629954847e+19,0.11415113317533933,1.749874382531206e+20
4,aldi,DQNAgent,discount_maximization,8.638075499377502e+18,0.018530158819784835,4.6072828265799115e+19
4,costco,DQNAgent,bulk_volume,1.2687715018092097e+20,0.08260045868226655,400263586.31000006
5,walmart,DQNAgent,pure_revenue,3.236345003564314e+21,0.0661952583580699,8.324819284961247e+21
5,target,DQNAgent,profit_margin,1.4299408389990947e+21,0.17804023963566368,1.1204615362584917e+22
5,amazon_fresh,DQNAgent,market_share,1.8361196969690847e+21,0.13769828930669842,8363217.332863569
5,qfc,DQNAgent,revenue_with_inventory,2.139005477668219e+21,0.06157144969396427,2.1238947518788837e+22
5,safeway,DQNAgent,long_term_value,8.388200300164867e+17,0.059703433565569806,9.963372953475598e+18
5,kroger,DQNAgent,promo_aware_profit,6.600687762891743e+17,0.03924944497931151,2.644819050493809e+19
5,trader_joes,DQNAgent,premium_floor,5.883566687514962e+21,0.19218662774921255,2.2928741807066586e+22
5,whole_foods,DQNAgent,prestige_reward,1.510172363038021e+19,0.09919875806699617,1.722741457906894e+20
5,aldi,DQNAgent,discount_maximization,3.560637250951272e+21,0.06572014067892196,2.1218316095960096e+22
5,costco,DQNAgent,bulk_volume,6.096447889928137e+21,0.10043635796559174,402585308.45999974
6,walmart,DQNAgent,pure_revenue,3.2199519166936845e+17,0.04024894262296942,2.638306780831957e+18
6,target,DQNAgent,profit_margin,2.5287984291224014e+20,0.13479769927500268,4.937151720766281e+21
6,amazon_fresh,DQNAgent,market_share,3.496957355105187e+20,0.19000373464290804,10944240.21424376
6,qfc,DQNAgent,revenue_with_inventory,1.2383851007018519e+19,0.061954037149698625,3.5704710483435527e+20
6,safeway,DQNAgent,long_term_value,8.512450911035507e+16,0.035610294387774376,2.345144326599405e+18
6,kroger,DQNAgent,promo_aware_profit,3.8240188013449837e+17,0.03227796373484523,3.006201934958615e+18
6,trader_joes,DQNAgent,premium_floor,6.641754403026781e+20,0.17255981999549927,8.545195391580484e+21
6,whole_foods,DQNAgent,prestige_reward,6.395034210257923e+21,0.1575066317493136,7.510896492966355e+21
6,aldi,DQNAgent,discount_maximization,7.849206073960703e+20,0.046073989008397626,3.273537362662203e+21
