episode,agent,algorithm,reward_fn,revenue,market_share,total_reward
0,walmart,PPOAgent,pure_revenue,6920910.660999998,0.10411444870693067,1132968651.3370996
0,target,PPOAgent,pure_revenue,7275833.177700003,0.10953824410670461,608017506.2709006
0,amazon_fresh,PPOAgent,pure_revenue,6273662.904500003,0.09454528693675247,6257252.4284734335
0,qfc,PPOAgent,pure_revenue,6837900.196399998,0.10244058030653715,1093182919.5906994
0,safeway,PPOAgent,pure_revenue,6914676.809800003,0.10357116870558082,1139079072.9287004
0,kroger,PPOAgent,pure_revenue,5407846.081500002,0.08277047137966008,566770207.9665198
0,trader_joes,PPOAgent,pure_revenue,7938199.757999999,0.11898345543793713,592610003.3692002
0,whole_foods,PPOAgent,pure_revenue,6424166.912499999,0.0979440847305723,626415052.2682996
0,aldi,PPOAgent,pure_revenue,5908076.4778,0.08854795682051754,964804593.3900005
0,costco,PPOAgent,pure_revenue,6391562.1385,0.09754430286880719,688304335.7900002
1,walmart,PPOAgent,pure_revenue,14266521.072099943,0.13949723754904614,1473703026.521202
1,target,PPOAgent,pure_revenue,6582285.887099999,0.08365596299335823,646451374.4529998
1,amazon_fresh,PPOAgent,pure_revenue,13931610.93320004,0.13436747232272211,7701501.884695461
1,qfc,PPOAgent,pure_revenue,8165530.2303,0.09940924268059637,1173155524.165199
1,safeway,PPOAgent,pure_revenue,12174548.292000007,0.12073211074744566,1314257302.1528995
1,kroger,PPOAgent,pure_revenue,6443138.585199997,0.08193787678233806,638418816.4015597
1,trader_joes,PPOAgent,pure_revenue,3548901.7533999993,0.05561380430443875,460811667.0186003
1,whole_foods,PPOAgent,pure_revenue,8400425.476899996,0.09829471314573415,705744843.7976997
1,aldi,PPOAgent,pure_revenue,9414034.691200007,0.10963500127842853,1284516690.991401
1,costco,PPOAgent,pure_revenue,5233196.1258000005,0.07685657819589199,575783315.8399994
2,walmart,PPOAgent,pure_revenue,5511076869.026101,0.08295329891235853,137118678036.93861
2,target,PPOAgent,pure_revenue,6333165459.535995,0.10100333410610401,201219361098.25735
2,amazon_fresh,PPOAgent,pure_revenue,73326365744.81949,0.48326596441867964,24472893.502815768
2,qfc,PPOAgent,pure_revenue,6007175.822,0.012225946300442176,827191984.9245998
2,safeway,PPOAgent,pure_revenue,2661506969.7529993,0.045562920159677445,83614783931.9683
2,kroger,PPOAgent,pure_revenue,3184522383.3188,0.051591433210492955,105802973533.68117
2,trader_joes,PPOAgent,pure_revenue,3519498381.8139987,0.051859891681242505,100322704462.81775
2,whole_foods,PPOAgent,pure_revenue,3493020622.0364013,0.09602109807128759,117171927652.27159
2,aldi,PPOAgent,pure_revenue,1229743627.4820004,0.04180211305622467,48963719819.4321
2,costco,PPOAgent,pure_revenue,1158088601.5446,0.03371400008349044,205259788.92000005
3,walmart,PPOAgent,pure_revenue,1662758056.4778018,0.047932534901090985,59340262744.02203
3,target,PPOAgent,pure_revenue,1924444531.763498,0.08101107227516983,141226303087.87653
3,amazon_fresh,PPOAgent,pure_revenue,34080668111.014633,0.5662078310019075,30344341.400024325
3,qfc,PPOAgent,pure_revenue,320818149.0519,0.02037540013378997,20950721413.5964
3,safeway,PPOAgent,pure_revenue,22559852.54960001,0.014588463877803378,747270213.3926002
3,kroger,PPOAgent,pure_revenue,1653316342.974997,0.06560181351731935,103422511511.60588
3,trader_joes,PPOAgent,pure_revenue,665737477.1647002,0.03579591140905134,46858217742.808525
3,whole_foods,PPOAgent,pure_revenue,565684842.2530001,0.053584516340344994,43257276215.527374
3,aldi,PPOAgent,pure_revenue,1721766842.2885995,0.05744575865188435,80046497618.80066
3,costco,PPOAgent,pure_revenue,1287062447.9136002,0.05745669789163818,306595132.1299998
4,walmart,PPOAgent,pure_revenue,332374728.0781002,0.021545514084045383,13445120005.958105
4,target,PPOAgent,pure_revenue,5019143376.183702,0.03765804219325542,91753428172.09009
4,amazon_fresh,PPOAgent,pure_revenue,302887635171.8179,0.6866262138431234,37991549.478373095
4,qfc,PPOAgent,pure_revenue,1697724106.5072992,0.01803345920334044,36951143736.159294
4,safeway,PPOAgent,pure_revenue,1241573279.4766994,0.012034389833612488,24356703434.3631
4,kroger,PPOAgent,pure_revenue,7094447049.416307,0.025555239782971764,52583222110.66805
4,trader_joes,PPOAgent,pure_revenue,18192744599.452736,0.06447229259629088,306562463829.19995
4,whole_foods,PPOAgent,pure_revenue,9554646187.168497,0.03693887518089759,220956636901.6855
4,aldi,PPOAgent,pure_revenue,4540204361.035895,0.05209111250291802,132630740091.0162
4,costco,PPOAgent,pure_revenue,8936146610.009596,0.04504486077954468,255538687.32999995
5,walmart,PPOAgent,pure_revenue,1135597487115402.2,0.01471085174728559,7658899613938113.0
5,target,PPOAgent,pure_revenue,8713313732632291.0,0.05294379447342366,5.375123880644846e+16
5,amazon_fresh,PPOAgent,pure_revenue,1.1437082385283966e+17,0.5257688771853614,28244050.519425057
5,qfc,PPOAgent,pure_revenue,4855306462429158.0,0.01691153359054203,2.881784393223784e+16
5,safeway,PPOAgent,pure_revenue,456695342572616.8,0.038092698897007254,1.391907694507223e+16
5,kroger,PPOAgent,pure_revenue,1.3061309942907456e+16,0.06665433749910245,8.548753463008778e+16
5,trader_joes,PPOAgent,pure_revenue,1.6705879235356522e+16,0.08390643022797,1.2824544434271816e+17
5,whole_foods,PPOAgent,pure_revenue,2.8201389969523748e+16,0.10435345738381875,2.1457075663133152e+17
5,aldi,PPOAgent,pure_revenue,1822975789422522.0,0.02184222636743846,1.4180322848710984e+16
5,costco,PPOAgent,pure_revenue,5305074323947656.0,0.07481579262805037,455702946.1800002
6,walmart,PPOAgent,pure_revenue,350496111789.0198,0.011040732815084147,5438847012297.919
6,target,PPOAgent,pure_revenue,295864816036.12646,0.01748503075648134,8990637739888.857
6,amazon_fresh,PPOAgent,pure_revenue,111829319261101.05,0.7550300271981675,42701601.27152051
6,qfc,PPOAgent,pure_revenue,32945077545.154194,0.010396215357521098,542390305914.9675
6,safeway,PPOAgent,pure_revenue,5217613.735200002,0.011520153596656427,836523657.3258
6,kroger,PPOAgent,pure_revenue,9059401099349.354,0.06476715833309661,165664617176446.97
6,trader_joes,PPOAgent,pure_revenue,671883968303.4164,0.02764972758173905,14012111541473.637
6,whole_foods,PPOAgent,pure_revenue,99072864365.77232,0.061013262389872064,6831167840448.32
6,aldi,PPOAgent,pure_revenue,1880786037986.5205,0.01987076984412247,24748749503087.875
6,costco,PPOAgent,pure_revenue,699855346183.3691,0.02122692212725937,121271950.55000012
7,walmart,PPOAgent,pure_revenue,67547280373.88053,0.009485564250063663,987593087432.3523
7,target,PPOAgent,pure_revenue,675965900012.1606,0.02110944467791469,9219624658438.07
7,amazon_fresh,PPOAgent,pure_revenue,122634496324613.84,0.8059390664431577,46207264.092983365
7,qfc,PPOAgent,pure_revenue,7384972742.321298,0.011647111361970419,149673924134.60135
7,safeway,PPOAgent,pure_revenue,472377561990.0898,0.024332255540156677,7459626784107.821
7,kroger,PPOAgent,pure_revenue,901807690054.2332,0.034802129642779185,14408027515567.533
7,trader_joes,PPOAgent,pure_revenue,3441187676.1968994,0.017960498369399863,57254499352.966385
7,whole_foods,PPOAgent,pure_revenue,941610558732.2112,0.024092501276744765,13363653363220.67
7,aldi,PPOAgent,pure_revenue,821248712041.5055,0.028114154091528634,12199616341928.357
7,costco,PPOAgent,pure_revenue,484211608286.92365,0.022517274346284435,215409913.8900001
8,walmart,PPOAgent,pure_revenue,1488917195954.693,0.01202231657069822,157931149669065.12
8,target,PPOAgent,pure_revenue,6386462188871.639,0.02157071076387581,674545861272969.6
8,amazon_fresh,PPOAgent,pure_revenue,1.364848252811082e+17,0.7946540468795174,45881994.910411894
8,qfc,PPOAgent,pure_revenue,1665919544708.162,0.013292379862896643,130927268331340.95
8,safeway,PPOAgent,pure_revenue,25939596754038.656,0.031006234842439792,2442408008931598.5
8,kroger,PPOAgent,pure_revenue,220102472353978.8,0.03614171835667839,1.1411912760563682e+16
8,trader_joes,PPOAgent,pure_revenue,70192002128373.24,0.019738200456740847,4659616936328796.0
8,whole_foods,PPOAgent,pure_revenue,3798059997823.405,0.02009836568260556,381938757378870.1
8,aldi,PPOAgent,pure_revenue,364317546554774.4,0.028805170540319815,1.4614392737041486e+16
8,costco,PPOAgent,pure_revenue,47578392504788.125,0.022670856044227482,188678473.68999994
9,walmart,PPOAgent,pure_revenue,381824600.2152,0.012343756451281692,44122473671.95192
9,target,PPOAgent,pure_revenue,32284073484.84939,0.023645371937563428,491042696997.1822
9,amazon_fresh,PPOAgent,pure_revenue,1976757006206.8572,0.7962258084612006,46342777.54813817
9,qfc,PPOAgent,pure_revenue,8037937056.544301,0.013545069828193644,121961880893.64377
9,safeway,PPOAgent,pure_revenue,22560072428.096905,0.031140672893092834,499463677548.7527
9,kroger,PPOAgent,pure_revenue,35857823448.222496,0.03786134121567827,751104531651.4146
9,trader_joes,PPOAgent,pure_revenue,7922337723.583502,0.021139802636737953,152284617760.9917
9,whole_foods,PPOAgent,pure_revenue,19112848704.2201,0.023529887701274416,385309854700.0803
9,aldi,PPOAgent,pure_revenue,49176923214.089905,0.02165831361293332,669645248602.8972
9,costco,PPOAgent,pure_revenue,22991730796.248493,0.018909975262043896,112718209.12999994
10,walmart,PPOAgent,pure_revenue,67102743210.98005,0.012045043268725892,1487311464409.7642
10,target,PPOAgent,pure_revenue,138582910114.31604,0.017744741446542922,2533241057447.69
10,amazon_fresh,PPOAgent,pure_revenue,22988810937009.848,0.8273963032239651,47952826.15228985
10,qfc,PPOAgent,pure_revenue,17813233.4247,0.012885232790057597,4085128345.637298
10,safeway,PPOAgent,pure_revenue,42131270.1224,0.014265303490060315,3175054116.1691017
10,kroger,PPOAgent,pure_revenue,410951659917.0203,0.032689078881005564,8614081975488.225
10,trader_joes,PPOAgent,pure_revenue,113976596075.80139,0.020506403945593582,2380201072780.591
10,whole_foods,PPOAgent,pure_revenue,156438438051.14352,0.01658261157253021,2869327584093.3906
10,aldi,PPOAgent,pure_revenue,495671264339.0075,0.027515089892537245,8851453239309.525
10,costco,PPOAgent,pure_revenue,125403355907.02725,0.018370191488981565,128346331.47000001
11,walmart,PPOAgent,pure_revenue,117829443823.99342,0.010736754287067565,1982373377434.9414
11,target,PPOAgent,pure_revenue,284353326242.55615,0.016038589057791593,4889661041927.785
11,amazon_fresh,PPOAgent,pure_revenue,1.6245234180006524e+16,0.8383824835123843,48044526.84225321
11,qfc,PPOAgent,pure_revenue,50146785451.8103,0.01099136592134171,851347079793.4598
11,safeway,PPOAgent,pure_revenue,3036783460255.877,0.026958432505091987,136815824133819.05
11,kroger,PPOAgent,pure_revenue,1432317556596.564,0.02874122851702415,25096445745524.04
11,trader_joes,PPOAgent,pure_revenue,126147819229.63756,0.014588819200133498,1938642304393.2117
11,whole_foods,PPOAgent,pure_revenue,436135940.4814001,0.01178713553884654,32900099875.6454
11,aldi,PPOAgent,pure_revenue,1370229985146.0085,0.02513687877327911,22701407522345.316
11,costco,PPOAgent,pure_revenue,289055018439.4707,0.016638312687039428,146220737.3700001
12,walmart,PPOAgent,pure_revenue,3171411933.437299,0.011995613651981037,209439775217.3221
12,target,PPOAgent,pure_revenue,4626664589.585402,0.016087967859996714,94525544246.30396
12,amazon_fresh,PPOAgent,pure_revenue,40213872077849.44,0.8125108253639252,46141837.430012025
12,qfc,PPOAgent,pure_revenue,34798544147.28569,0.013616353653804418,587373443205.459
12,safeway,PPOAgent,pure_revenue,325117661667.2553,0.031481069410488526,6421811655931.508
12,kroger,PPOAgent,pure_revenue,23065681712.157303,0.03524931849233205,1687764537505.347
12,trader_joes,PPOAgent,pure_revenue,119312573164.27861,0.01904350234912189,1894456935910.007
12,whole_foods,PPOAgent,pure_revenue,2565975099.5826035,0.01475211360905929,75781174032.88898
12,aldi,PPOAgent,pure_revenue,704537536795.2113,0.029498142804149266,10915604487348.508
12,costco,PPOAgent,pure_revenue,768778809.5745002,0.015765092805141767,119405049.15999997
13,walmart,PPOAgent,pure_revenue,55834606324.45334,0.011754959234168649,937299130259.3252
13,target,PPOAgent,pure_revenue,411021665084.7596,0.0196645998921861,6553877449665.034
