episode,agent,algorithm,reward_fn,revenue,market_share,total_reward
0,walmart,DQNAgent,pure_revenue,362489.3988000002,0.009379641153613734,114980490.04870011
0,target,DQNAgent,profit_margin,324399.61250000005,0.008311785824724447,57737023.56480004
0,amazon_fresh,DQNAgent,market_share,253398.45670000004,0.006351303574044746,781515.5724527166
0,qfc,QTableAgent,revenue_with_inventory,7761662.849700033,0.2246540213890763,1257486888.0680995
0,safeway,PPOAgent,long_term_value,3850253.3523999983,0.11090635760925308,694314673.7762002
0,kroger,PPOAgent,promo_aware_profit,3948748.121699997,0.11461823830742385,389042914.0675402
0,trader_joes,A2CAgent,premium_floor,1542054.0764999988,0.04307418115459101,183809285.27780014
0,whole_foods,A2CAgent,prestige_reward,1169144.7353999997,0.032242950398502945,181103271.9168999
0,aldi,QTableAgent,discount_maximization,7682385.803800031,0.22233365033880764,1252844922.7951996
0,costco,QTableAgent,bulk_volume,7886497.634000037,0.22812787024996223,1752822401.3499992
1,walmart,DQNAgent,pure_revenue,404864.2665,0.010857101974900312,127033247.30680005
1,target,DQNAgent,profit_margin,317277.71400000015,0.008143406495760154,58659886.21039997
1,amazon_fresh,DQNAgent,market_share,285437.8929,0.007318290790428071,897193.0041218584
1,qfc,QTableAgent,revenue_with_inventory,8296931.7185000535,0.2526301873315618,1356331393.3458045
1,safeway,PPOAgent,long_term_value,3080826.321799998,0.09433436695892439,668310007.7745003
1,kroger,PPOAgent,promo_aware_profit,3391518.813299999,0.1043836901914227,396499959.42279994
1,trader_joes,A2CAgent,premium_floor,304114.2569999997,0.007875204054813288,5188122.165099988
1,whole_foods,A2CAgent,prestige_reward,321125.0957000001,0.008221792221016407,43714727.523299985
1,aldi,QTableAgent,discount_maximization,8201815.415700046,0.2498221907555998,1349831336.1973028
1,costco,QTableAgent,bulk_volume,8417093.136100056,0.2564137692255731,1883568710.1000001
2,walmart,DQNAgent,pure_revenue,386281.11040000035,0.010332712079448166,122367324.46790008
2,target,DQNAgent,profit_margin,357473.6388000001,0.009407500701469153,65647004.746200055
2,amazon_fresh,DQNAgent,market_share,259716.20850000004,0.006603313753833436,781091.8380433427
2,qfc,QTableAgent,revenue_with_inventory,8884795.224700075,0.2995939431211462,1483328286.4706082
2,safeway,PPOAgent,long_term_value,593971.1289999996,0.01668101000888337,182804347.52409974
2,kroger,PPOAgent,promo_aware_profit,819845.9981999994,0.02349515276767036,143481411.84128007
2,trader_joes,A2CAgent,premium_floor,820134.3409999994,0.023524620823159842,104813726.75249995
2,whole_foods,A2CAgent,prestige_reward,339907.421,0.008939189536101863,45427199.51520003
2,aldi,QTableAgent,discount_maximization,8818706.363600072,0.29727241676144733,1478984639.5901072
2,costco,QTableAgent,bulk_volume,9028118.229100078,0.3041501404468403,2061276703.7500014
3,walmart,DQNAgent,pure_revenue,425780.5382000004,0.011650844629046843,134360360.0479002
3,target,DQNAgent,profit_margin,335055.1361000001,0.008842573914503616,61269077.43600003
3,amazon_fresh,DQNAgent,market_share,249608.7736,0.006444355405964547,780625.0863089005
3,qfc,QTableAgent,revenue_with_inventory,8948037.640300076,0.30505749380867503,1509011792.9561095
3,safeway,PPOAgent,long_term_value,605562.8988999999,0.017595111511595,178717343.36339998
3,kroger,PPOAgent,promo_aware_profit,698878.0150000002,0.02024601247112187,122136610.17582008
3,trader_joes,A2CAgent,premium_floor,294182.86600000004,0.008031197231824822,3625989.2449000236
3,whole_foods,A2CAgent,prestige_reward,339672.1322,0.009159008962528078,45880721.770999916
3,aldi,QTableAgent,discount_maximization,8868067.188500073,0.3027459163402206,1505215867.3402073
3,costco,QTableAgent,bulk_volume,9103692.189800084,0.3102274857245196,2092473342.549999
4,walmart,DQNAgent,pure_revenue,451559.7424000002,0.012654486838550439,136382881.2158002
4,target,DQNAgent,profit_margin,342608.36310000013,0.00909473245292282,62831436.54469994
4,amazon_fresh,DQNAgent,market_share,265833.17170000006,0.0068789003825155135,812262.7540995338
4,qfc,QTableAgent,revenue_with_inventory,8824211.106400073,0.2965630053280779,1473089527.9302068
