episode,agent,algorithm,reward_fn,revenue,market_share,total_reward
0,walmart,DQNAgent,pure_revenue,21668791.081000026,0.2560809500360641,2826893839.0093045
0,target,PPOAgent,profit_margin,1127286.6624999987,0.019028256293265267,209246206.1626001
0,amazon_fresh,A2CAgent,market_share,387936.73010000016,0.006552368225684074,819654.0063410826
0,qfc,QTableAgent,revenue_with_inventory,8871653.685799997,0.13408816262851345,1883691546.9493995
0,safeway,PPOAgent,long_term_value,1160086.3961000005,0.019933352247334397,355608650.3368003
0,kroger,A2CAgent,promo_aware_profit,352051.8258000001,0.005931216412340528,78524358.14591987
0,trader_joes,DQNAgent,premium_floor,24520972.937700063,0.2859350455363964,1760192557.6518998
0,whole_foods,PPOAgent,prestige_reward,3057918.080199996,0.04495265928017856,356279945.2648
0,aldi,A2CAgent,discount_maximization,704587.1017000002,0.011075056722533946,193664814.18750027
0,costco,QTableAgent,bulk_volume,17528472.358799987,0.2164229326176892,1319940301.0099993
1,walmart,DQNAgent,pure_revenue,12362033.99650003,0.20569452288789697,1877067433.8699021
1,target,PPOAgent,profit_margin,1253499.0577000005,0.02172717910975095,230701898.37749985
1,amazon_fresh,A2CAgent,market_share,377199.2106,0.0063201982676458655,787098.8756794991
1,qfc,QTableAgent,revenue_with_inventory,13074384.40659998,0.22777743664228323,2147399470.5051982
1,safeway,PPOAgent,long_term_value,1043452.0731000005,0.01820411318656878,325145136.8009
1,kroger,A2CAgent,promo_aware_profit,308255.29980000027,0.005205037105962942,66371070.989500016
1,trader_joes,DQNAgent,premium_floor,13130348.041500015,0.22094269877657371,1018974050.3293997
1,whole_foods,PPOAgent,prestige_reward,1636716.567999998,0.02963694682358099,283955596.6518999
1,aldi,A2CAgent,discount_maximization,654096.5598000002,0.011062734781721218,181942672.21400008
1,costco,QTableAgent,bulk_volume,15067760.89500001,0.25342913241801535,1591349340.4099998
2,walmart,DQNAgent,pure_revenue,13293913.022200016,0.1961305059701307,2151388634.4502
2,target,PPOAgent,profit_margin,993211.1787999993,0.01728401890023681,191522010.8084999
2,amazon_fresh,A2CAgent,market_share,337679.2086,0.005797030770243647,721256.4915742598
2,qfc,QTableAgent,revenue_with_inventory,20329766.487400047,0.2947996429054814,2755866859.6896
2,safeway,PPOAgent,long_term_value,1022331.2631000003,0.017609412720111225,317732470.6481
2,kroger,A2CAgent,promo_aware_profit,309814.01130000013,0.005366691549179524,66915335.59604003
2,trader_joes,DQNAgent,premium_floor,14486151.987300009,0.21059638914295215,1285460150.877801
2,whole_foods,PPOAgent,prestige_reward,1463177.9361000005,0.02494371927583851,230979757.5448999
2,aldi,A2CAgent,discount_maximization,711816.8881999997,0.011716431960236619,191608485.88569984
2,costco,QTableAgent,bulk_volume,14689886.359999983,0.21575615680558943,1335900369.59
3,walmart,DQNAgent,pure_revenue,21623349.48760006,0.27608690070893366,2735101945.892806
3,target,PPOAgent,profit_margin,1189233.5366999987,0.020200288774779182,208864993.9011002
3,amazon_fresh,A2CAgent,market_share,334727.03780000005,0.005743419014232623,717534.1798050429
3,qfc,QTableAgent,revenue_with_inventory,8044140.0335,0.1201939267657522,1582724685.8196995
3,safeway,PPOAgent,long_term_value,1127791.9247000003,0.019364678971061363,332574991.8147001
3,kroger,A2CAgent,promo_aware_profit,298478.2764000001,0.005168749562560031,63968831.532979965
3,trader_joes,DQNAgent,premium_floor,22134510.46430011,0.2825459519284413,1592538578.5666
3,whole_foods,PPOAgent,prestige_reward,1623771.9506999995,0.02724580258886279,243593364.54690015
3,aldi,A2CAgent,discount_maximization,736604.0808999998,0.011811698089989968,193970107.91519988
3,costco,QTableAgent,bulk_volume,15874737.05349999,0.231638583595387,1882030811.469999
4,walmart,DQNAgent,pure_revenue,27922160.429000106,0.3666051116874235,3537767306.3538976
4,target,PPOAgent,profit_margin,951596.6713999991,0.01577415269921112,196806346.10300016
4,amazon_fresh,A2CAgent,market_share,361047.99010000005,0.006158367161632784,764172.2003495436
4,qfc,QTableAgent,revenue_with_inventory,12096571.085499998,0.1818533086972769,2278455424.957499
4,safeway,PPOAgent,long_term_value,1309601.5134000005,0.021258296805866782,380219662.0447003
4,kroger,A2CAgent,promo_aware_profit,341416.2563000002,0.005840857045246539,73838383.34410003
4,trader_joes,DQNAgent,premium_floor,24188673.273400027,0.32935121412270657,1740070176.2742996
4,whole_foods,PPOAgent,prestige_reward,1133718.9222999997,0.01849796872959631,205572170.4137998
4,aldi,A2CAgent,discount_maximization,800924.0073000006,0.012656649441113287,214576964.34070042
4,costco,QTableAgent,bulk_volume,2500103.8800000013,0.04200407360992621,232234187.67999995
5,walmart,DQNAgent,pure_revenue,16457036.471199991,0.260517991486792,2464932188.9640045
5,target,PPOAgent,profit_margin,856268.0564999997,0.014519329009067406,176503589.63210022
5,amazon_fresh,A2CAgent,market_share,384072.16790000006,0.006415848043716393,797280.4265918602
5,qfc,QTableAgent,revenue_with_inventory,20155876.372000076,0.32501076712027693,2816373158.2039022
5,safeway,PPOAgent,long_term_value,1208705.9142999994,0.020490407601747595,338854273.6699999
5,kroger,A2CAgent,promo_aware_profit,346982.90599999996,0.00585864899347221,75333569.72376004
5,trader_joes,DQNAgent,premium_floor,11519248.9474,0.1850064637829211,1173948121.3367991
5,whole_foods,PPOAgent,prestige_reward,1202381.8747000012,0.020428485131458472,217090170.65769988
5,aldi,A2CAgent,discount_maximization,738195.8391000002,0.012314101664754773,203351789.78009996
5,costco,QTableAgent,bulk_volume,8422648.298199996,0.14943795716579314,947320935.9999996
6,walmart,DQNAgent,pure_revenue,22228133.585700035,0.2999020068778227,3354501411.3509965
6,target,PPOAgent,profit_margin,933855.0735999992,0.015390089529061301,158703694.4574001
6,amazon_fresh,A2CAgent,market_share,325632.8469000001,0.005511735543796506,692215.3110235604
6,qfc,QTableAgent,revenue_with_inventory,20491026.105400003,0.27695703050318965,2906089742.3156023
6,safeway,PPOAgent,long_term_value,841131.142299999,0.014159602981118711,255239825.21459994
